Country.Region,Country,ConfirmedCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,CasesOver1mPop,DeathsOver1mPop,TotalTests,TestsOver1mPop,Group,Density,Migrants,Urbanpop
US,USA,"503,177",301,"18,761",14,"27,314","457,102","10,917","1,520",57,"2,538,888","7,670",1,36,954806,0.83
Spain,Spain,"158,273",,"16,081",,"55,668","86,524","7,371","3,385",344,"355,000","7,593",1,94,40000,0.8
Italy,Italy,"147,577",,"18,849",,"30,455","98,273","3,497","2,441",312,"906,864","14,999",1,206,148943,0.69
France,France,"124,869",,"13,197",,"24,932","86,740","7,004","1,913",202,"333,807","5,114",1,119,36527,0.82
Germany,Germany,"122,171",,"2,736",,"53,913","65,522","4,895","1,458",33,"1,317,887","15,730",1,240,543822,0.76
China,China,"81,953",46,"3,339",3,"77,525","1,089",141,57,2,"500,000",1000,2,153,-348399,0.61
United Kingdom,UK,"73,758",,"8,958",,344,"64,456","1,559","1,086",132,"316,836","4,667",1,281,260650,0.83
Iran,Iran,"68,192",,"4,232",,"35,465","28,495","3,969",812,50,"242,568","2,888",1,52,-55000,0.76
Turkey,Turkey,"47,029",,"1,006",,"2,423","43,600","1,667",558,12,"307,210","3,643",1,110,283922,0.76
Belgium,Belgium,"26,667",,"3,019",,"5,568","18,080","1,278","2,301",260,"84,248","7,269",1,383,48000,0.98
Switzerland,Switzerland,"24,551",,"1,002",,"11,100","12,449",386,"2,837",116,"178,500","20,625",1,219,52000,0.74
Netherlands,Netherlands,"23,097",,"2,511",,250,"20,336","1,424","1,348",147,"101,534","5,926",1,508,16000,0.92
Canada,Canada,"22,148",,569,,"6,013","15,566",557,587,15,"383,322","10,156",1,4,242032,0.81
Brazil,Brazil,"19,943",154,"1,074",6,173,"18,696",296,94,5,"62,985",296,1,25,21200,0.88
Portugal,Portugal,"15,472",,435,,233,"14,804",226,"1,517",43,"140,863","13,815",1,111,-6000,0.66
Austria,Austria,"13,667",107,319,,"6,064","7,284",261,"1,517",35,"134,743","14,961",1,109,65000,0.57
Russia,Russia,"13,584","1,667",106,12,"1,045","12,433",8,93,0.7,"1,180,000","8,086",2,9,182456,0.74
South Korea,S. Korea,"10,450",,208,,"7,117","3,125",55,204,4,"503,051","9,812",2,527,11731,0.82
Israel,Israel,"10,408",,95,,"1,183","9,130",124,"1,202",11,"117,339","13,557",1,400,10000,0.93
