,Country.Region,day,cumcases,Y_pred_median,Y_pred_cred_0.025,Y_pred_cred_0.975,X0,date
1,Argentina,1,1,1,1,2,0,22/01/2020
2,Argentina,2,1,1,1,2,0,23/01/2020
3,Argentina,3,1,1,1,2,0,24/01/2020
4,Argentina,4,1,1,1,2,0,25/01/2020
5,Argentina,5,1,1,1,2,0,26/01/2020
6,Argentina,6,1,1,1,2,0,27/01/2020
7,Argentina,7,1,1,1,2,0,28/01/2020
8,Argentina,8,1,1,1,2,0,29/01/2020
9,Argentina,9,1,1,1,2,0,30/01/2020
10,Argentina,10,1,1,1,2,0,31/01/2020
11,Argentina,11,1,1,1,2,0,01/02/2020
12,Argentina,12,1,1,1,2,0,02/02/2020
13,Argentina,13,1,1,1,2,0,03/02/2020
14,Argentina,14,1,1,1,2,0,04/02/2020
15,Argentina,15,1,1,1,2,0,05/02/2020
16,Argentina,16,1,1,1,2,0,06/02/2020
17,Argentina,17,1,1,1,2,0,07/02/2020
18,Argentina,18,1,1,1,2,0,08/02/2020
19,Argentina,19,1,1,1,2,0,09/02/2020
20,Argentina,20,1,1,1,2,0,10/02/2020
21,Argentina,21,1,1,1,2,0,11/02/2020
22,Argentina,22,1,1,1,2,0,12/02/2020
23,Argentina,23,1,1,1,2,0,13/02/2020
24,Argentina,24,1,1,1,2,0,14/02/2020
25,Argentina,25,1,1,1,2,0,15/02/2020
26,Argentina,26,1,1,1,2,0,16/02/2020
27,Argentina,27,1,1,1,2,0,17/02/2020
28,Argentina,28,1,1,1,2,0,18/02/2020
29,Argentina,29,1,1,1,2,0,19/02/2020
30,Argentina,30,1,1,1,2,0,20/02/2020
31,Argentina,31,1,1,1,2,0,21/02/2020
32,Argentina,32,1,1,1,2,0,22/02/2020
33,Argentina,33,1,1,1,2,0,23/02/2020
34,Argentina,34,1,1,1,2,0,24/02/2020
35,Argentina,35,1,1,1,2,0,25/02/2020
36,Argentina,36,1,1,1,2,0,26/02/2020
37,Argentina,37,1,1,1,2,0,27/02/2020
38,Argentina,38,1,1,1,2,0,28/02/2020
39,Argentina,39,1,1,1,2,0,29/02/2020
40,Argentina,40,1,1,1,2,0,01/03/2020
41,Argentina,41,1,1,1,3,0,02/03/2020
42,Argentina,42,2,2,1,3,0,03/03/2020
43,Argentina,43,2,2,1,4,0,04/03/2020
44,Argentina,44,2,3,1,5,0,05/03/2020
45,Argentina,45,3,4,2,8,0,06/03/2020
46,Argentina,46,9,6,3,11,0,07/03/2020
47,Argentina,47,13,8,4,15,0,08/03/2020
48,Argentina,48,13,11,5,20,0,09/03/2020
49,Argentina,49,18,14,7,27,0,10/03/2020
50,Argentina,50,20,19,10,38,0,11/03/2020
51,Argentina,51,20,26,13,48,0,12/03/2020
52,Argentina,52,32,33,18,64,0,13/03/2020
53,Argentina,53,35,43,22,83,0,14/03/2020
54,Argentina,54,46,56,29,105,0,15/03/2020
55,Argentina,55,57,70,37,133,0,16/03/2020
56,Argentina,56,69,87,46,164,0,17/03/2020
57,Argentina,57,80,108,57,204,0,18/03/2020
58,Argentina,58,98,132,71,250,0,19/03/2020
59,Argentina,59,129,160,85,302,0,20/03/2020
60,Argentina,60,159,193,103,370,0,21/03/2020
61,Argentina,61,267,232,121,441,0,22/03/2020
62,Argentina,62,302,272,141,507,0,23/03/2020
63,Argentina,63,388,323,172,592,0,24/03/2020
64,Argentina,64,388,375,196,703,0,25/03/2020
65,Argentina,65,503,431,225,813,0,26/03/2020
66,Argentina,66,590,500,262,937,0,27/03/2020
67,Argentina,67,691,570,304,1074,0,28/03/2020
68,Argentina,68,746,647,348,1213,0,29/03/2020
69,Argentina,69,821,729,382,1375,0,30/03/2020
70,Argentina,70,1055,819,448,1553,0,31/03/2020
71,Argentina,71,1055,911,489,1710,0,01/04/2020
72,Argentina,72,1134,1006,541,1877,0,02/04/2020
73,Argentina,73,1266,1115,602,2089,0,03/04/2020
74,Argentina,74,1452,1239,655,2299,0,04/04/2020
75,Argentina,75,1452,1352,734,2547,0,05/04/2020
76,Argentina,76,1555,1467,775,2707,0,06/04/2020
77,Argentina,77,1629,1575,839,2985,0,07/04/2020
78,Argentina,78,1716,1695,921,3132,0,08/04/2020
79,Argentina,79,1796,1835,984,3420,0,09/04/2020
80,Argentina,80,1976,1969,1029,3686,0,10/04/2020
81,Argentina,81,1976,2106,1128,3955,0,11/04/2020
82,Argentina,82,2143,2228,1189,4140,0,12/04/2020
83,Argentina,83,2209,2373,1280,4418,0,13/04/2020
84,Argentina,84,2278,2495,1305,4697,0,14/04/2020
85,Argentina,85,2444,2642,1385,4883,0,15/04/2020
86,Argentina,86,2572,2740,1455,5186,0,16/04/2020
87,Argentina,87,2670,2861,1518,5395,0,17/04/2020
