,Country.Region,day,C_pred_median,C_pred_cred_0.025,C_pred_cred_0.975,X5
1,Argentina,1,1.00E-05,0,0,5
2,Argentina,2,2.00E-05,0,0,5
3,Argentina,3,2.00E-05,0,0,5
4,Argentina,4,2.00E-05,0,0,5
5,Argentina,5,3.00E-05,0,0,5
6,Argentina,6,4.00E-05,0,0,5
7,Argentina,7,5.00E-05,0,0,5
8,Argentina,8,6.00E-05,0,0,5
9,Argentina,9,8.00E-05,0,0,5
10,Argentina,10,1.00E-04,0,0,5
11,Argentina,11,0.00013,0,0,5
12,Argentina,12,0.00016,0,0,5
13,Argentina,13,2.00E-04,0,0,5
14,Argentina,14,0.00026,0,0,5
15,Argentina,15,0.00032,0,0,5
16,Argentina,16,0.00041,0,0,5
17,Argentina,17,0.00052,0,0,5
18,Argentina,18,0.00065,0,0,5
19,Argentina,19,0.00083,0,0,5
20,Argentina,20,0.00104,0,0,5
21,Argentina,21,0.00131,0,0,5
22,Argentina,22,0.00164,1.00E-05,0,5
23,Argentina,23,0.00206,1.00E-05,0,5
24,Argentina,24,0.00258,2.00E-05,0,5
25,Argentina,25,0.00321,3.00E-05,0,5
26,Argentina,26,0.00398,4.00E-05,0,5
27,Argentina,27,0.00495,7.00E-05,0,5
28,Argentina,28,0.00614,0.00013,0,5
29,Argentina,29,0.00752,0.00021,0,5
30,Argentina,30,0.0092,0.00035,0,5
31,Argentina,31,0.01114,6.00E-04,0,5
32,Argentina,32,0.01344,0.00101,0,5
33,Argentina,33,0.01604,0.00162,0,5
34,Argentina,34,0.01882,0.00262,0,5
35,Argentina,35,0.02205,0.00429,0,5
36,Argentina,36,0.02546,0.00684,0,5
37,Argentina,37,0.02909,0.01065,0,5
38,Argentina,38,0.03295,0.01512,0,5
39,Argentina,39,0.03695,0.01961,0,5
40,Argentina,40,0.04085,0.02396,0,5
41,Argentina,41,0.04448,0.02732,0,5
42,Argentina,42,0.04771,0.02983,0,5
43,Argentina,43,0.05064,0.03197,0,5
44,Argentina,44,0.05305,0.03388,0,5
45,Argentina,45,0.05502,0.03566,0,5
46,Argentina,46,0.05661,0.03718,0,5
47,Argentina,47,0.05786,0.03872,0,5
48,Argentina,48,0.05887,0.04006,0,5
49,Argentina,49,0.05968,0.04124,0,5
50,Argentina,50,0.06032,0.0424,0,5
51,Argentina,51,0.06086,0.04338,0,5
52,Argentina,52,0.06131,0.04426,0,5
53,Argentina,53,0.06164,0.045,0,5
54,Argentina,54,0.0619,0.04562,0,5
55,Argentina,55,0.06212,0.04622,0,5
56,Argentina,56,0.06228,0.0467,0,5
57,Argentina,57,0.06246,0.04716,0,5
58,Argentina,58,0.0626,0.04756,0,5
59,Argentina,59,0.06273,0.04787,0,5
60,Argentina,60,0.0628,0.04816,0,5
61,Argentina,61,0.06287,0.04842,0,5
62,Argentina,62,0.06294,0.04857,0,5
63,Argentina,63,0.06299,0.04875,0,5
64,Argentina,64,0.06304,0.04892,0,5
65,Argentina,65,0.06309,0.04908,0,5
66,Argentina,66,0.06314,0.04917,0,5
67,Argentina,67,0.06317,0.04928,0,5
68,Argentina,68,0.0632,0.04934,0,5
69,Argentina,69,0.06322,0.0494,0,5
70,Argentina,70,0.06325,0.04943,0,5
71,Argentina,71,0.06327,0.04946,0,5
72,Argentina,72,0.06327,0.04948,0,5
73,Argentina,73,0.06328,0.04953,0,5
74,Argentina,74,0.06329,0.04957,0,5
75,Argentina,75,0.06329,0.04961,0,5
76,Argentina,76,0.0633,0.04962,0,5
77,Argentina,77,0.06331,0.04963,0,5
78,Argentina,78,0.06331,0.04963,0,5
79,Argentina,79,0.06333,0.04966,0,5
80,Argentina,80,0.06334,0.04966,0,5
81,Argentina,81,0.06335,0.04966,0,5
82,Argentina,82,0.06337,0.04966,0,5
83,Argentina,83,0.06337,0.04966,0,5
84,Argentina,84,0.06337,0.04967,0,5
85,Argentina,85,0.06338,0.04969,0,5
86,Argentina,86,0.06338,0.0497,0,5
87,Argentina,87,0.06338,0.04971,0,5
88,Argentina,88,0.06339,0.04971,0,5
89,Argentina,89,0.06339,0.04972,0,5
90,Argentina,90,0.06339,0.04972,0,5
91,Argentina,91,0.06339,0.04972,0,5
3096,Argentina,92,0.0634,0.04972,0,5
3130,Argentina,93,0.0634,0.04972,0,5
